op,element_type,analysis,n,sparsity,time_ns
SUM,double,"AnalysisFlag::min",4096,0.25,2.56967e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.57074e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56973e+07
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.18322e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17874e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17857e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17808e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17823e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.1785e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17836e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17823e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17802e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17896e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.45363e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.46705e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.44144e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.43716e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.44146e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.45626e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.47045e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.45643e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.43965e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.44592e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75429e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.7572e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75629e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75352e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75582e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75437e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75532e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75488e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75494e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75478e+07
SUM,double,"AnalysisFlag::min",1024,1,1.66691e+06
SUM,double,"AnalysisFlag::min",1024,1,1.61192e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60991e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60698e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60926e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60672e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60909e+06
SUM,double,"AnalysisFlag::min",1024,1,1.59267e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60604e+06
SUM,double,"AnalysisFlag::min",1024,1,1.6038e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43576e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43213e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43266e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43483e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43235e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43217e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43188e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43519e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43363e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43543e+06
SUM,double,"AnalysisFlag::min",4096,1,2.57829e+07
SUM,double,"AnalysisFlag::min",4096,1,2.57028e+07
SUM,double,"AnalysisFlag::min",4096,1,2.57003e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56993e+07
SUM,double,"AnalysisFlag::min",4096,1,2.57047e+07
SUM,double,"AnalysisFlag::min",4096,1,2.5735e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56993e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56987e+07
SUM,double,"AnalysisFlag::min",4096,1,2.57023e+07
SUM,double,"AnalysisFlag::min",4096,1,2.57123e+07
SUM,int64_t,"AnalysisFlag::min",1024,1,1.22791e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.18155e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.18123e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17879e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.1784e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.179e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17893e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17851e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17863e+06
