mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
naive,idxMin,double,,4096,0.01,7,21617680,False
vectorized,idxMin,double,,4096,0.01,8,21415701,False
naive,idxMin,double,,4096,0.01,8,22735701,False
vectorized,idxMin,double,,4096,0.01,9,21471668,False
naive,idxMin,double,,4096,0.01,9,21483496,False
vectorized,idxMin,double,,4096,0.05,0,21424760,False
naive,idxMin,double,,4096,0.05,0,21400189,False
vectorized,idxMin,double,,4096,0.05,1,24143906,False
naive,idxMin,double,,4096,0.05,1,21526759,False
vectorized,idxMin,double,,4096,0.05,2,21405016,False
naive,idxMin,double,,4096,0.05,2,21476129,False
vectorized,idxMin,double,,4096,0.05,3,21420486,False
naive,idxMin,double,,4096,0.05,3,21426284,False
vectorized,idxMin,double,,4096,0.05,4,21563907,False
naive,idxMin,double,,4096,0.05,4,21697931,False
vectorized,idxMin,double,,4096,0.05,5,21437255,False
naive,idxMin,double,,4096,0.05,5,21687029,False
vectorized,idxMin,double,,4096,0.05,6,21428578,False
naive,idxMin,double,,4096,0.05,6,21789025,False
vectorized,idxMin,double,,4096,0.05,7,21591026,False
naive,idxMin,double,,4096,0.05,7,21505797,False
vectorized,idxMin,double,,4096,0.05,8,21468974,False
naive,idxMin,double,,4096,0.05,8,21518010,False
vectorized,idxMin,double,,4096,0.05,9,21605016,False
naive,idxMin,double,,4096,0.05,9,21448797,False
vectorized,idxMin,double,,4096,0.1,0,21607872,False
naive,idxMin,double,,4096,0.1,0,21616253,False
vectorized,idxMin,double,,4096,0.1,1,21461145,False
naive,idxMin,double,,4096,0.1,1,21440910,False
vectorized,idxMin,double,,4096,0.1,2,21465084,False
naive,idxMin,double,,4096,0.1,2,21454883,False
vectorized,idxMin,double,,4096,0.1,3,21511977,False
naive,idxMin,double,,4096,0.1,3,21481024,False
vectorized,idxMin,double,,4096,0.1,4,21787861,False
naive,idxMin,double,,4096,0.1,4,21341374,False
vectorized,idxMin,double,,4096,0.1,5,21479611,False
naive,idxMin,double,,4096,0.1,5,21562057,False
vectorized,idxMin,double,,4096,0.1,6,27823314,False
naive,idxMin,double,,4096,0.1,6,21660195,False
vectorized,idxMin,double,,4096,0.1,7,21655656,False
naive,idxMin,double,,4096,0.1,7,23991146,False
vectorized,idxMin,double,,4096,0.1,8,21454692,False
naive,idxMin,double,,4096,0.1,8,21435975,False
vectorized,idxMin,double,,4096,0.1,9,21487681,False
naive,idxMin,double,,4096,0.1,9,21594557,False
vectorized,idxMin,double,,4096,0.2,0,21479692,False
naive,idxMin,double,,4096,0.2,0,21190361,False
vectorized,idxMin,double,,4096,0.2,1,21507042,False
naive,idxMin,double,,4096,0.2,1,21497614,False
vectorized,idxMin,double,,4096,0.2,2,21441594,False
naive,idxMin,double,,4096,0.2,2,21473378,False
vectorized,idxMin,double,,4096,0.2,3,21522006,False
naive,idxMin,double,,4096,0.2,3,21502643,False
vectorized,idxMin,double,,4096,0.2,4,21490968,False
naive,idxMin,double,,4096,0.2,4,21717260,False
vectorized,idxMin,double,,4096,0.2,5,21292081,False
naive,idxMin,double,,4096,0.2,5,21650602,False
vectorized,idxMin,double,,4096,0.2,6,21446633,False
naive,idxMin,double,,4096,0.2,6,21440730,False
vectorized,idxMin,double,,4096,0.2,7,21451272,False
naive,idxMin,double,,4096,0.2,7,21651878,False
vectorized,idxMin,double,,4096,0.2,8,21488442,False
naive,idxMin,double,,4096,0.2,8,21439195,False
vectorized,idxMin,double,,4096,0.2,9,21424585,False
naive,idxMin,double,,4096,0.2,9,21480295,False
vectorized,idxMin,double,,4096,0.25,0,21447572,True
naive,idxMin,double,,4096,0.25,0,21479773,True
vectorized,idxMin,double,,4096,0.25,1,21496131,True
naive,idxMin,double,,4096,0.25,1,21622909,True
vectorized,idxMin,double,,4096,0.25,2,21483496,True
naive,idxMin,double,,4096,0.25,2,21424405,True
vectorized,idxMin,double,,4096,0.25,3,21412971,True
naive,idxMin,double,,4096,0.25,3,21475543,True
vectorized,idxMin,double,,4096,0.25,4,27270130,True
naive,idxMin,double,,4096,0.25,4,21436216,True
vectorized,idxMin,double,,4096,0.25,5,21605771,True
naive,idxMin,double,,4096,0.25,5,24365080,True
vectorized,idxMin,double,,4096,0.25,6,21438215,True
naive,idxMin,double,,4096,0.25,6,21439319,True
