mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,4096,0.1,9,13708658,False
naive,idxMin,double,,4096,0.1,9,13872213,False
vectorized,idxMin,double,,4096,0.2,0,13952790,False
naive,idxMin,double,,4096,0.2,0,13860133,False
vectorized,idxMin,double,,4096,0.2,1,16435530,False
naive,idxMin,double,,4096,0.2,1,13712209,False
vectorized,idxMin,double,,4096,0.2,2,13752459,False
naive,idxMin,double,,4096,0.2,2,17393416,False
vectorized,idxMin,double,,4096,0.2,3,13819673,False
naive,idxMin,double,,4096,0.2,3,13724185,False
vectorized,idxMin,double,,4096,0.2,4,13861553,False
naive,idxMin,double,,4096,0.2,4,13689234,False
vectorized,idxMin,double,,4096,0.2,5,13801530,False
naive,idxMin,double,,4096,0.2,5,13667724,False
vectorized,idxMin,double,,4096,0.2,6,13935042,False
naive,idxMin,double,,4096,0.2,6,13722541,False
vectorized,idxMin,double,,4096,0.2,7,13837360,False
naive,idxMin,double,,4096,0.2,7,14104633,False
vectorized,idxMin,double,,4096,0.2,8,13764306,False
naive,idxMin,double,,4096,0.2,8,13665250,False
vectorized,idxMin,double,,4096,0.2,9,13712502,False
naive,idxMin,double,,4096,0.2,9,19260565,False
vectorized,idxMin,double,,4096,0.25,0,13609186,True
naive,idxMin,double,,4096,0.25,0,13936393,True
vectorized,idxMin,double,,4096,0.25,1,13918207,True
naive,idxMin,double,,4096,0.25,1,13797231,True
vectorized,idxMin,double,,4096,0.25,2,13597881,True
naive,idxMin,double,,4096,0.25,2,13834380,True
vectorized,idxMin,double,,4096,0.25,3,13768867,True
naive,idxMin,double,,4096,0.25,3,13752306,True
vectorized,idxMin,double,,4096,0.25,4,13916605,True
naive,idxMin,double,,4096,0.25,4,13815861,True
vectorized,idxMin,double,,4096,0.25,5,13675866,True
naive,idxMin,double,,4096,0.25,5,13878725,True
vectorized,idxMin,double,,4096,0.25,6,13937038,True
naive,idxMin,double,,4096,0.25,6,14007670,True
vectorized,idxMin,double,,4096,0.25,7,13762771,True
naive,idxMin,double,,4096,0.25,7,13645222,True
vectorized,idxMin,double,,4096,0.25,8,19120142,True
naive,idxMin,double,,4096,0.25,8,13927111,True
vectorized,idxMin,double,,4096,0.25,9,13781959,True
naive,idxMin,double,,4096,0.25,9,13775888,True
vectorized,idxMin,double,,4096,1.0,0,13714192,True
naive,idxMin,double,,4096,1.0,0,13740156,True
vectorized,idxMin,double,,4096,1.0,1,13800830,True
naive,idxMin,double,,4096,1.0,1,13422540,True
vectorized,idxMin,double,,4096,1.0,2,13523612,True
naive,idxMin,double,,4096,1.0,2,13780761,True
vectorized,idxMin,double,,4096,1.0,3,13712252,True
naive,idxMin,double,,4096,1.0,3,13601224,True
vectorized,idxMin,double,,4096,1.0,4,13594484,True
naive,idxMin,double,,4096,1.0,4,13680895,True
vectorized,idxMin,double,,4096,1.0,5,13905237,True
naive,idxMin,double,,4096,1.0,5,13905814,True
vectorized,idxMin,double,,4096,1.0,6,13676459,True
naive,idxMin,double,,4096,1.0,6,13813409,True
vectorized,idxMin,double,,4096,1.0,7,13851951,True
naive,idxMin,double,,4096,1.0,7,13955379,True
vectorized,idxMin,double,,4096,1.0,8,15523237,True
naive,idxMin,double,,4096,1.0,8,13562783,True
vectorized,idxMin,double,,4096,1.0,9,13725161,True
naive,idxMin,double,,4096,1.0,9,13629540,True
vectorized,idxMin,double,,1024,0.001,0,1091452,False
naive,idxMin,double,,1024,0.001,0,1085114,False
vectorized,idxMin,double,,1024,0.001,1,1227686,False
naive,idxMin,double,,1024,0.001,1,1072419,False
vectorized,idxMin,double,,1024,0.001,2,1100734,False
naive,idxMin,double,,1024,0.001,2,1082511,False
vectorized,idxMin,double,,1024,0.001,3,1108918,False
naive,idxMin,double,,1024,0.001,3,1063774,False
vectorized,idxMin,double,,1024,0.001,4,1111400,False
naive,idxMin,double,,1024,0.001,4,1080129,False
vectorized,idxMin,double,,1024,0.001,5,1086250,False
naive,idxMin,double,,1024,0.001,5,1084648,False
vectorized,idxMin,double,,1024,0.001,6,1070738,False
naive,idxMin,double,,1024,0.001,6,1052132,False
vectorized,idxMin,double,,1024,0.001,7,1095247,False
