op,element_type,analysis,n,sparsity,mean_ns,std_ns
MEAN,double,numDistinctApprox,4096,0.2,1767827.0,19837.02937549986
MEAN,double,numDistinctApprox,4096,0.25,21016540.0,6891.572953816739
MEAN,double,numDistinctApprox,4096,1.0,21016650.0,37976.052395629136
MEAN,double,sparsity,1024,0.001,12529.4,1346.1728632600561
MEAN,double,sparsity,1024,0.01,18487.3,428.54302260359117
MEAN,double,sparsity,1024,0.05,27247.1,332.53552859473183
MEAN,double,sparsity,1024,0.1,34448.4,1221.9196372920774
MEAN,double,sparsity,1024,0.2,52542.3,4579.804339585796
MEAN,double,sparsity,1024,0.25,1612591.0,5865.493159146996
MEAN,double,sparsity,1024,1.0,1622241.0,32469.283758311914
MEAN,double,sparsity,2048,0.001,25779.5,1995.3341825368507
MEAN,double,sparsity,2048,0.01,41470.1,783.6985602470714
MEAN,double,sparsity,2048,0.05,65314.7,1077.7428110020812
MEAN,double,sparsity,2048,0.1,97691.7,1902.0400188569492
MEAN,double,sparsity,2048,0.2,193771.0,19460.01893341548
MEAN,double,sparsity,2048,0.25,6516111.0,7973.575038142503
MEAN,double,sparsity,2048,1.0,6516515.0,9507.361183139472
MEAN,double,sparsity,4096,0.001,62359.5,1065.68499097998
MEAN,double,sparsity,4096,0.01,98032.0,1722.4641263801884
MEAN,double,sparsity,4096,0.05,217951.5,42923.323044315504
MEAN,double,sparsity,4096,0.1,594183.4,24569.487975490592
MEAN,double,sparsity,4096,0.2,1386193.0,20390.291289947043
MEAN,double,sparsity,4096,0.25,25962250.0,31963.772896480503
MEAN,double,sparsity,4096,1.0,25996370.0,60172.3829232869
MEAN,int64_t,min,1024,0.001,9664.7,1181.8423517730462
MEAN,int64_t,min,1024,0.01,17181.1,692.8805332330626
MEAN,int64_t,min,1024,0.05,26066.3,862.4134159438851
MEAN,int64_t,min,1024,0.1,32768.3,1279.5268266042724
MEAN,int64_t,min,1024,0.2,52059.0,4930.083005837168
MEAN,int64_t,min,1024,0.25,1180636.0,2124.9324172259608
MEAN,int64_t,min,1024,1.0,1185700.0,14504.68047064656
MEAN,int64_t,min,2048,0.001,21254.8,1609.5924121756204
MEAN,int64_t,min,2048,0.01,38343.1,680.0120015280773
MEAN,int64_t,min,2048,0.05,62067.9,806.4753836568372
MEAN,int64_t,min,2048,0.1,98092.7,7488.70002143971
MEAN,int64_t,min,2048,0.2,201661.2,41641.02374075087
MEAN,int64_t,min,2048,0.25,4441471.0,4928.187518979358
MEAN,int64_t,min,2048,1.0,4444352.0,8462.73767104298
MEAN,int64_t,min,4096,0.001,55247.2,863.5949153264958
MEAN,int64_t,min,4096,0.01,90970.3,1108.7452417535374
MEAN,int64_t,min,4096,0.05,195891.4,5685.845040292798
MEAN,int64_t,min,4096,0.1,582481.3,14461.401515374955
MEAN,int64_t,min,4096,0.2,1382714.0,24786.694997294177
MEAN,int64_t,min,4096,0.25,17545250.0,6894.482496089742
MEAN,int64_t,min,4096,1.0,17560020.0,35853.33705218757
MEAN,int64_t,"min, max",1024,0.001,9683.6,1026.649047467861
MEAN,int64_t,"min, max",1024,0.01,16597.3,566.9912893706771
MEAN,int64_t,"min, max",1024,0.05,26114.2,971.4466646307573
MEAN,int64_t,"min, max",1024,0.1,33403.7,1019.8499944163898
MEAN,int64_t,"min, max",1024,0.2,52478.9,5616.602540682401
MEAN,int64_t,"min, max",1024,0.25,1446814.0,1784.9942421320106
MEAN,int64_t,"min, max",1024,1.0,1457639.0,21707.873865898935
MEAN,int64_t,"min, max",2048,0.001,21088.3,972.9982356955568
MEAN,int64_t,"min, max",2048,0.01,38172.6,502.40824480142
MEAN,int64_t,"min, max",2048,0.05,63604.3,1041.650405206405
MEAN,int64_t,"min, max",2048,0.1,98633.6,6194.21576418947
MEAN,int64_t,"min, max",2048,0.2,198322.1,41979.7029724551
MEAN,int64_t,"min, max",2048,0.25,5447808.0,9287.28497582707
MEAN,int64_t,"min, max",2048,1.0,5477454.0,45646.94883316709
MEAN,int64_t,"min, max",4096,0.001,54425.8,538.482806905971
MEAN,int64_t,"min, max",4096,0.01,90132.5,923.9364155611581
MEAN,int64_t,"min, max",4096,0.05,198584.4,7553.26893470635
MEAN,int64_t,"min, max",4096,0.1,572270.3,10769.654673613662
MEAN,int64_t,"min, max",4096,0.2,1385705.0,19042.86991092584
MEAN,int64_t,"min, max",4096,0.25,21423190.0,6962.1915451322775
MEAN,int64_t,"min, max",4096,1.0,21433780.0,21535.902839470687
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.001,24832.7,1426.452947387719
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.01,35367.0,1561.2723443824054
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.05,44996.9,4701.161758308023
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.1,54793.4,2262.985010015656
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.2,72621.6,6732.794701228377
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,1308412.0,22270.675188088328
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,1315200.0,27406.22475926876
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.001,55471.7,2663.135539171826
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.01,74578.0,2105.0176035157306
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.05,100536.5,5093.791978695467
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.1,134115.8,11655.158922602088
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.2,246649.7,40478.14149238793
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,5233117.0,3747.903265679019
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,5247852.0,12085.189098874762
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.001,128118.7,4642.980700895589
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.01,162732.2,5353.888551531701
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.05,280578.0,7425.060792867473
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.1,669810.0,22985.732927671077
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.2,1482223.0,28107.237126563836
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,20786150.0,23986.48925263267
MEAN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,20811480.0,31479.863052080607
MEAN,int64_t,numDistinct,1024,0.001,11528.8,1230.8974864797726
MEAN,int64_t,numDistinct,1024,0.01,18858.1,486.6793263193607
MEAN,int64_t,numDistinct,1024,0.05,28077.5,1029.2138585671426
MEAN,int64_t,numDistinct,1024,0.1,35626.1,1821.003047773397
MEAN,int64_t,numDistinct,1024,0.2,54209.6,5384.482894804704
